,BGCR,TGCR,MOVE,SW_2Y,SW_5Y,SW_10Y,SW_30Y
1990-01-01,,,87.93,,,,
1990-01-02,,,91.73,,,,
1990-01-03,,,93.21,,,,
1990-01-04,,,95.09,,,,
1990-01-05,,,85.28,,,,
1990-01-08,,,86.91,,,,
1990-01-09,,,83.53,,,,
1990-01-10,,,84.53,,,,
1990-01-11,,,82.86,,,,
1990-01-12,,,87.31,,,,
1990-01-15,,,87.31,,,,
1990-01-16,,,95.37,,,,
1990-01-17,,,93.84,,,,
1990-01-18,,,101.9,,,,
1990-01-19,,,95.76,,,,
1990-01-22,,,101.65,,,,
1990-01-23,,,102.77,,,,
1990-01-24,,,109.14,,,,
1990-01-25,,,109.73,,,,
1990-01-26,,,110.08,,,,
1990-01-29,,,108.34,,,,
1990-01-30,,,112.71,,,,
1990-01-31,,,105.5,,,,
1990-02-01,,,105.39,,,,
1990-02-02,,,103.31,,,,
1990-02-05,,,98.51,,,,
1990-02-06,,,99.43,,,,
1990-02-07,,,107.67,,,,
1990-02-08,,,104.47,,,,
1990-02-09,,,105.65,,,,
1990-02-12,,,104.26,,,,
1990-02-13,,,106.11,,,,
1990-02-14,,,102.26,,,,
1990-02-15,,,100.59,,,,
1990-02-16,,,94.63,,,,
1990-02-19,,,94.63,,,,
1990-02-20,,,109.0,,,,
1990-02-21,,,110.89,,,,
1990-02-22,,,110.03,,,,
1990-02-23,,,107.16,,,,
1990-02-26,,,111.62,,,,
1990-02-27,,,107.3,,,,
1990-02-28,,,105.72,,,,
1990-03-01,,,108.82,,,,
1990-03-02,,,106.51,,,,
1990-03-05,,,106.45,,,,
1990-03-06,,,106.34,,,,
1990-03-07,,,106.23,,,,
1990-03-08,,,107.16,,,,
1990-03-09,,,106.44,,,,
1990-03-12,,,105.3,,,,
1990-03-13,,,109.46,,,,
1990-03-14,,,107.1,,,,
1990-03-15,,,103.56,,,,
1990-03-16,,,101.57,,,,
1990-03-19,,,103.04,,,,
1990-03-20,,,103.03,,,,
1990-03-21,,,101.37,,,,
1990-03-22,,,106.6,,,,
1990-03-23,,,105.88,,,,
1990-03-26,,,105.56,,,,
1990-03-27,,,103.5,,,,
1990-03-28,,,98.67,,,,
1990-03-29,,,102.21,,,,
1990-03-30,,,103.89,,,,
1990-04-02,,,104.48,,,,
1990-04-03,,,100.64,,,,
1990-04-04,,,107.26,,,,
1990-04-05,,,103.72,,,,
1990-04-06,,,100.77,,,,
1990-04-09,,,98.98,,,,
1990-04-10,,,100.48,,,,
1990-04-11,,,99.17,,,,
1990-04-12,,,98.78,,,,
1990-04-13,,,98.78,,,,
1990-04-16,,,99.05,,,,
1990-04-17,,,99.94,,,,
1990-04-18,,,101.29,,,,
1990-04-19,,,101.37,,,,
1990-04-20,,,102.13,,,,
1990-04-23,,,106.32,,,,
1990-04-24,,,105.36,,,,
1990-04-25,,,104.23,,,,
1990-04-26,,,109.41,,,,
1990-04-27,,,106.59,,,,
1990-04-30,,,104.63,,,,
1990-05-01,,,106.19,,,,
1990-05-02,,,106.92,,,,
1990-05-03,,,106.81,,,,
1990-05-04,,,108.46,,,,
1990-05-07,,,104.55,,,,
1990-05-08,,,105.61,,,,
1990-05-09,,,109.61,,,,
1990-05-10,,,107.67,,,,
1990-05-11,,,105.45,,,,
1990-05-14,,,107.87,,,,
1990-05-15,,,107.45,,,,
1990-05-16,,,104.42,,,,
1990-05-17,,,101.79,,,,
1990-05-18,,,100.61,,,,
1990-05-21,,,94.82,,,,
1990-05-22,,,95.16,,,,
1990-05-23,,,95.14,,,,
1990-05-24,,,94.0,,,,
1990-05-25,,,93.62,,,,
1990-05-28,,,93.62,,,,
1990-05-29,,,92.77,,,,
1990-05-30,,,94.45,,,,
1990-05-31,,,94.7,,,,
1990-06-01,,,97.12,,,,
1990-06-04,,,93.49,,,,
1990-06-05,,,92.72,,,,
1990-06-06,,,96.01,,,,
1990-06-07,,,96.24,,,,
1990-06-08,,,91.83,,,,
1990-06-11,,,95.2,,,,
1990-06-12,,,96.26,,,,
1990-06-13,,,97.84,,,,
1990-06-14,,,95.23,,,,
1990-06-15,,,94.28,,,,
1990-06-18,,,94.28,,,,
1990-06-19,,,94.9,,,,
1990-06-20,,,90.84,,,,
1990-06-21,,,92.67,,,,
1990-06-22,,,91.53,,,,
1990-06-25,,,92.06,,,,
1990-06-26,,,91.79,,,,
1990-06-27,,,92.74,,,,
1990-06-28,,,94.55,,,,
1990-06-29,,,96.98,,,,
1990-07-02,,,99.7,,,,
1990-07-03,,,96.49,,,,
1990-07-04,,,96.49,,,,
1990-07-05,,,100.97,,,,
1990-07-06,,,97.03,,,,
1990-07-09,,,98.56,,,,
1990-07-10,,,97.83,,,,
1990-07-11,,,96.94,,,,
1990-07-12,,,100.4,,,,
1990-07-13,,,97.45,,,,
1990-07-16,,,95.95,,,,
1990-07-17,,,94.14,,,,
1990-07-18,,,95.95,,,,
1990-07-19,,,94.16,,,,
1990-07-20,,,95.13,,,,
1990-07-23,,,99.72,,,,
1990-07-24,,,100.44,,,,
1990-07-25,,,99.07,,,,
1990-07-26,,,97.05,,,,
1990-07-27,,,98.12,,,,
1990-07-30,,,97.51,,,,
1990-07-31,,,99.29,,,,
1990-08-01,,,103.74,,,,
1990-08-02,,,109.04,,,,
1990-08-03,,,111.95,,,,
1990-08-06,,,114.46,,,,
1990-08-07,,,115.47,,,,
1990-08-08,,,115.36,,,,
1990-08-09,,,114.46,,,,
1990-08-10,,,114.75,,,,
1990-08-13,,,119.12,,,,
1990-08-14,,,118.91,,,,
1990-08-15,,,115.87,,,,
1990-08-16,,,120.45,,,,
